N,E
58637,58133
52569,57743,546866
21434,31658,653236
15134,45470,763835
1531,48941,327413
40766,22307,435703
3645,1507,654399
27700,13400,653731
47685,10064,652729
5094,96,434702
21107,4586,436585
28481,12388,760431
36729,21532,437001
11752,29144,653213
31639,17175,545298
31742,34296,764635
14397,3076,872355
54836,23390,764991
46833,47629,327795
27553,12906,873266
8044,33971,544717
2761,35555,873394
15293,37508,654538
29609,11823,765374
39922,17808,544752
8960,33409,760793
644,23225,763692
10795,18198,108745
56235,55054,652450
36337,11010,444284
39819,46323,552711
13633,211,433085
44400,4524,984710
39918,17571,656459
34053,25367,651651
10558,57597,221658
19145,53683,556132
56555,38097,333222
50781,9223,668613
49934,54204,445702
38585,38818,1002312
3703,35077,667130
54779,3750,223364
42571,19891,669174
42188,1867,668150
49983,32923,890214
49477,51047,335057
29932,991,444295
17284,52141,444752
47719,40642,664111
50058,32831,554188
15185,44537,761508
10210,24095,661297
56761,22516,762648
7336,1848,543172
13844,55528,662595
49064,16001,665525
40776,50168,667041
12926,37755,997527
7683,25860,666860
56747,53674,885749
9990,37355,667655
46649,37639,665169
18974,38641,557494
43763,23069,890584
15473,52834,779805
7401,16225,779798
56819,30507,443806
46580,44354,445676
20278,9937,1110896
53186,35657,555455
10021,2327,333421
43360,236,669162
47689,53948,1113965
34194,52746,445784
16585,56722,552492
4921,47547,1001614
16105,51675,554436
30268,29875,222349
2171,2642,443758
30480,9225,221319
34227,16687,330267
50630,44325,778765
34877,12368,777861
5063,55774,669148
27593,8057,556130
8409,49308,445875
25848,53766,668095
54842,45785,333016
30360,23378,443051
46305,1488,665150
35823,43450,778289
26879,32692,1003214
19359,54322,445811
15455,30390,557556
49017,56759,667187
26949,33434,891556
13199,46607,666187
37508,7469,446776
29934,12118,665774
37080,43258,335082
53967,50551,779852
15643,10608,667536
54347,14194,557456
51651,8641,223393
8801,16821,667173
9508,27361,1000319
49412,21061,554434
29240,43946,556747
40825,29305,222309
27262,46839,331087
30715,25296,556470
57183,30302,776450
54029,37478,554513
24270,11341,557420
16477,45032,666177
